Id,Precinct,For,Against,Totals,TabName,CountyOBJECTID,Cnty_Name,Cnty_No,CountyFIPS
1,WestBlue/Highland,177,154,331,Adams,1,Adams,1,1
2,Verona,77,66,143,Adams,1,Adams,1,1
3,Kenesaw,301,264,565,Adams,1,Adams,1,1
4,Juniata,267,212,479,Adams,1,Adams,1,1
5,Denver,328,260,588,Adams,1,Adams,1,1
6,Blaine,49,44,93,Adams,1,Adams,1,1
7,Pauline,89,75,164,Adams,1,Adams,1,1
8,Ayr,210,154,364,Adams,1,Adams,1,1
9,Roseland,144,101,245,Adams,1,Adams,1,1
10,Holstein,88,79,167,Adams,1,Adams,1,1
11,1-A,441,300,741,Adams,1,Adams,1,1
12,1-B,316,213,529,Adams,1,Adams,1,1
13,1-C,300,175,475,Adams,1,Adams,1,1
14,2-A,194,126,320,Adams,1,Adams,1,1
15,2-B,363,222,585,Adams,1,Adams,1,1
16,2-C,344,174,518,Adams,1,Adams,1,1
17,2-D,569,321,890,Adams,1,Adams,1,1
18,2-E,401,211,612,Adams,1,Adams,1,1
19,3-A,404,194,598,Adams,1,Adams,1,1
20,3-B,349,168,517,Adams,1,Adams,1,1
21,3-C,431,221,652,Adams,1,Adams,1,1
22,3-D,80,47,127,Adams,1,Adams,1,1
23,3-E,740,374,1114,Adams,1,Adams,1,1
24,4-A,309,128,437,Adams,1,Adams,1,1
25,4-B,347,166,513,Adams,1,Adams,1,1
26,4-C,223,85,308,Adams,1,Adams,1,1
27,4-D,512,323,835,Adams,1,Adams,1,1
28,4-E,130,79,209,Adams,1,Adams,1,1
29,Tilden Precinct,71,74,145,Antelope,2,Antelope,2,3
30,Tilden 1st Ward,76,56,132,Antelope,2,Antelope,2,3
31,Oakdale Precinct,126,107,233,Antelope,2,Antelope,2,3
32,Neligh Precinct,116,124,240,Antelope,2,Antelope,2,3
33,Neligh 1st Ward,188,165,353,Antelope,2,Antelope,2,3
34,Neligh 2nd Ward,166,144,310,Antelope,2,Antelope,2,3
35,Brunswick Precinct,139,182,321,Antelope,2,Antelope,2,3
36,Elgin 1st Ward,76,83,159,Antelope,2,Antelope,2,3
37,Elgin 2nd Ward,110,69,179,Antelope,2,Antelope,2,3
38,Elgin Precinct,89,104,193,Antelope,2,Antelope,2,3
39,Royal Precinct,50,59,109,Antelope,2,Antelope,2,3
40,Clearwater Precinct,187,187,374,Antelope,2,Antelope,2,3
41,Orchard Precinct,140,134,274,Antelope,2,Antelope,2,3
42,Arthur,0,0,0,Arthur,3,Arthur,3,5
43,Long Springs,180,194,374,Banner,4,Banner,4,7
44,Blaine,111,166,277,Blaine,5,Blaine,5,9
45,Boone,59,66,125,Boone,6,Boone,6,11
46,Beaver,177,187,364,Boone,6,Boone,6,11
47,Cedar,165,155,320,Boone,6,Boone,6,11
48,Dublin-Bonanza,68,68,136,Boone,6,Boone,6,11
49,North Branch-Shell Creek,32,49,81,Boone,6,Boone,6,11
50,North Manchester,244,182,426,Boone,6,Boone,6,11
51,Oakland,200,190,390,Boone,6,Boone,6,11
52,Southeast Manchester,294,229,523,Boone,6,Boone,6,11
53,Southwest Manchester,284,209,493,Boone,6,Boone,6,11
54,New/Former Resident,0,0,0,Boone,6,Boone,6,11
55,Precinct 1,283,207,490,Box Butte,7,Box Butte,7,13
56,Precinct 2,291,241,532,Box Butte,7,Box Butte,7,13
57,Precinct 3,260,184,444,Box Butte,7,Box Butte,7,13
58,Precinct 4,301,242,543,Box Butte,7,Box Butte,7,13
59,Precinct 5,421,299,720,Box Butte,7,Box Butte,7,13
60,Precinct 6,365,257,622,Box Butte,7,Box Butte,7,13
61,Precinct 11,161,166,327,Box Butte,7,Box Butte,7,13
62,Precinct 12,153,177,330,Box Butte,7,Box Butte,7,13
63,Precinct 15,362,334,696,Box Butte,7,Box Butte,7,13
64,Butte Basin McCulley,151,180,331,Boyd,8,Boyd,8,15
65,Lynch Bristow Mullen Bush,105,104,209,Boyd,8,Boyd,8,15
66,Spencer Morton,167,207,374,Boyd,8,Boyd,8,15
67,Ainsworth Precinct,197,250,447,Brown,9,Brown,9,17
68,City of Ainsworth,398,344,742,Brown,9,Brown,9,17
69,The Pines,170,168,338,Brown,9,Brown,9,17
70,Precinct 1,596,307,903,Buffalo,10,Buffalo,10,19
71,Precinct 2,490,257,747,Buffalo,10,Buffalo,10,19
72,Precinct 3,685,373,1058,Buffalo,10,Buffalo,10,19
73,Precinct 4,963,529,1492,Buffalo,10,Buffalo,10,19
