Id|Precinct|For|Against|Totals|TabName
1|WestBlue/Highland|205|162|367|Adams
2|Verona|70|81|151|Adams
3|Kenesaw|323|294|617|Adams
4|Juniata|302|213|515|Adams
5|Denver|320|306|626|Adams
6|Blaine|43|59|102|Adams
7|Pauline|113|73|186|Adams
8|Ayr|209|189|398|Adams
9|Roseland|155|114|269|Adams
10|Holstein|104|69|173|Adams
11|1-A|490|291|781|Adams
12|1-B|338|222|560|Adams
13|1-C|292|222|514|Adams
14|2-A|203|131|334|Adams
15|2-B|349|269|618|Adams
16|2-C|334|206|540|Adams
17|2-D|521|425|946|Adams
18|2-E|406|230|636|Adams
19|3-A|381|240|621|Adams
20|3-B|300|239|539|Adams
21|3-C|440|246|686|Adams
22|3-D|73|60|133|Adams
23|3-E|682|509|1191|Adams
24|4-A|260|194|454|Adams
25|4-B|327|219|546|Adams
26|4-C|178|130|308|Adams
27|4-D|543|344|887|Adams
28|4-E|137|94|231|Adams
29|Tilden Precinct|82|70|152|Antelope
30|Tilden 1st Ward|95|45|140|Antelope
31|Oakdale Precinct|150|101|251|Antelope
32|Neligh Precinct|168|94|262|Antelope
33|Neligh 1st Ward|221|165|386|Antelope
34|Neligh 2nd Ward|187|137|324|Antelope
35|Brunswick Precinct|165|175|340|Antelope
36|Elgin 1st Ward|97|76|173|Antelope
37|Elgin 2nd Ward|112|89|201|Antelope
38|Elgin Precinct|116|104|220|Antelope
39|Royal Precinct|67|59|126|Antelope
40|Clearwater Precinct|243|183|426|Antelope
41|Orchard Precinct|153|133|286|Antelope
42|Arthur|0|0|0|Arthur
43|Long Springs|192|189|381|Banner
44|Blaine|155|140|295|Blaine
45|Boone|81|58|139|Boone
46|Beaver|249|139|388|Boone
47|Cedar|224|114|338|Boone
48|Dublin-Bonanza|90|57|147|Boone
49|North Branch-Shell Creek|37|51|88|Boone
50|North Manchester|252|204|456|Boone
51|Oakland|244|181|425|Boone
52|Southeast Manchester|318|238|556|Boone
53|Southwest Manchester|309|226|535|Boone
54|New/Former Resident|0|0|0|Boone
55|Precinct 1|318|189|507|Box Butte
56|Precinct 2|367|179|546|Box Butte
57|Precinct 3|294|168|462|Box Butte
58|Precinct 4|361|211|572|Box Butte
59|Precinct 5|494|250|744|Box Butte
60|Precinct 6|413|232|645|Box Butte
61|Precinct 11|215|128|343|Box Butte
62|Precinct 12|196|143|339|Box Butte
63|Precinct 15|465|254|719|Box Butte
64|Butte Basin McCulley|168|218|386|Boyd
65|Lynch Bristow Mullen Bush|105|125|230|Boyd
66|Spencer Morton|167|235|402|Boyd
67|Ainsworth Precinct|193|272|465|Brown
68|City of Ainsworth|366|413|779|Brown
69|The Pines|169|179|348|Brown
70|Precinct 1|441|502|943|Buffalo
71|Precinct 2|433|345|778|Buffalo
72|Precinct 3|507|586|1093|Buffalo
73|Precinct 4|763|778|1541|Buffalo
74|Precinct 5|391|332|723|Buffalo
75|Precinct 6|619|671|1290|Buffalo
76|Precinct 7|509|451|960|Buffalo
77|Precinct 8|287|239|526|Buffalo
78|Precinct 9|446|365|811|Buffalo
79|Precinct 10|733|557|1290|Buffalo
80|Precinct 11|369|243|612|Buffalo
81|Precinct 12|418|311|729|Buffalo
82|Precinct 13|783|714|1497|Buffalo
83|Precinct 14|743|433|1176|Buffalo
84|Precinct 15|128|165|293|Buffalo
85|Precinct 16|304|269|573|Buffalo
86|Precinct 17|136|127|263|Buffalo
87|Precinct 18|431|225|656|Buffalo
88|Precinct 19|236|317|553|Buffalo
89|Precinct 20|513|572|1085|Buffalo
90|Precinct 21|266|234|500|Buffalo
91|Precinct 22|161|147|308|Buffalo
92|Precinct 23|205|169|374|Buffalo
93|Precinct 24|437|283|720|Buffalo
94|Precinct 25|390|262|652|Buffalo
95|Precinct 26|382|355|737|Buffalo
96|Precinct 27|176|154|330|Buffalo
97|Precinct 28|302|355|657|Buffalo
98|Precinct 29|305|317|622|Buffalo
99|ARIZONA-RIVERSIDE|156|60|216|Burt
100|BELL-OAK-PERSH|166|109|275|Burt
101|CRAIG|162|70|232|Burt
102|DECATUR-QUINN|228|93|321|Burt
103|EVERETT-LOGAN|91|98|189|Burt
104|LYONS CITY|276|115|391|Burt
105|OAKLAND I|205|123|328|Burt
106|OAKLAND II|192|110|302|Burt
107|SILVERCREEK-SUMMIT|211|96|307|Burt
108|TEKAMAH I|330|126|456|Burt
109|TEKAMAH II|299|133|432|Burt
110|Linwood-Skull Creek-Platte|247|96|343|Butler
111|Savannah-Alexis|448|207|655|Butler
112|Summit-Reading|264|117|381|Butler
113|Franklin-Bone Creek|201|109|310|Butler
114|Oak Creek-Center|245|160|405|Butler
115|Union-Olive|187|89|276|Butler
116|Read-Ulysses|173|105|278|Butler
117|Plum Creek-Richardson|232|117|349|Butler
118|First Ward|256|119|375|Butler
119|Second Ward|288|138|426|Butler
120|Third Ward|272|224|496|Butler
121|Tipton|838|374|1212|Cass
122|McKelverly|180|87|267|Cass
123|Salt Creek|361|147|508|Cass
124|Stove Creek|394|185|579|Cass
125|Murdock|254|135|389|Cass
126|South Bend|441|178|619|Cass
127|Buccaneer Bay|667|229|896|Cass
128|Center|215|114|329|Cass
129|East Louisville|378|137|515|Cass
130|West Louisville|410|216|626|Cass
131|Avoca|166|108|274|Cass
132|Mount Pleasant|96|47|143|Cass
133|Eight Mile Grove|511|168|679|Cass
134|Nehawka|144|50|194|Cass
135|Liberty|253|100|353|Cass
136|North Rock Bluff|442|197|639|Cass
137|South Rock Bluff|756|343|1099|Cass
138|West Rock Bluff|239|138|377|Cass
139|North Plattsmouth|356|193|549|Cass
140|South Plattsmouth|515|299|814|Cass
141|Weeping Water 1st Ward|222|79|301|Cass
142|Weeping Water 2nd Ward|236|70|306|Cass
143|1st Ward - 1st Precinct|261|110|371|Cass
144|1st Ward - 2nd Precinct|236|108|344|Cass
145|2nd Ward - 1st Precinct|255|139|394|Cass
146|2nd Ward - 2nd Precinct|244|112|356|Cass
147|3rd Ward - 1st Precinct|257|115|372|Cass
148|3rd Ward - 2nd Precinct|239|97|336|Cass
149|4th Ward - 1st Precinct|206|59|265|Cass
150|4th Ward - 2nd Precinct|259|102|361|Cass
151|Precinct 1 (1)|105|79|184|Cedar
152|Precinct 2 (2-3)|219|169|388|Cedar
153|Precicnt 3 (4)|101|88|189|Cedar
154|Precicnt 4 (5-6-7)|220|181|401|Cedar
155|Precinct 5 (13-14)|96|63|159|Cedar
156|Precinct 6 (8-9)|682|415|1097|Cedar
157|Precicnt 7 (9A)|50|48|98|Cedar
158|Precinct 8 (10-11-12)|145|105|250|Cedar
159|Precinct 9 (15-16)|245|184|429|Cedar
160|Precicnt 10 (17-18)|82|58|140|Cedar
161|Precinct 11 (19)|379|151|530|Cedar
162|Precinct 12 (20)|76|45|121|Cedar
163|Precicnt 13 (21)|362|262|624|Cedar
164|Champion/Lamar|134|147|281|Chase
165|Imperial East|145|173|318|Chase
166|Imperial West|276|308|584|Chase
167|Imperial Rural|134|198|332|Chase
168|Wauneta|183|183|366|Chase
169|Barley|21|18|39|Cherry
170|Cleveland|40|27|67|Cherry
171|Cody|129|60|189|Cherry
