Id|Precinct|Bolz|Fortenberry|Grace|Totals|TabName
1|ARIZONA-RIVERSIDE|54|168|6|228|Burt
2|BELL-OAK-PERSH|40|244|7|291|Burt
3|CRAIG|49|181|5|235|Burt
4|DECATUR-QUINN|113|212|10|335|Burt
5|EVERETT-LOGAN|31|161|4|196|Burt
6|LYONS CITY|122|295|9|426|Burt
7|OAKLAND I|72|254|21|347|Burt
8|OAKLAND II|59|251|10|320|Burt
9|SILVERCREEK-SUMMIT|82|234|8|324|Burt
10|TEKAMAH I|148|316|7|471|Burt
11|TEKAMAH II|122|321|18|461|Burt
12|Linwood-Skull Creek-Platte|54|308|7|369|Butler
13|Savannah-Alexis|132|522|11|665|Butler
14|Summit-Reading|74|300|7|381|Butler
15|Franklin-Bone Creek|28|287|5|320|Butler
16|Oak Creek-Center|84|330|5|419|Butler
17|Union-Olive|34|238|6|278|Butler
18|Read-Ulysses|43|233|6|282|Butler
19|Plum Creek-Richardson|73|284|9|366|Butler
20|First Ward|69|300|17|386|Butler
21|Second Ward|78|361|10|449|Butler
22|Third Ward|111|405|5|521|Butler
23|Tipton|385|842|36|1263|Cass
24|McKelverly|70|197|8|275|Cass
25|Salt Creek|149|347|26|522|Cass
26|Stove Creek|179|419|15|613|Cass
27|Murdock|129|278|9|416|Cass
28|South Bend|167|461|11|639|Cass
29|Buccaneer Bay|313|575|28|916|Cass
30|Center|89|238|14|341|Cass
31|East Louisville|150|362|19|531|Cass
32|West Louisville|163|476|11|650|Cass
33|Avoca|65|202|11|278|Cass
34|Mount Pleasant|26|120|2|148|Cass
35|Eight Mile Grove|177|509|12|698|Cass
36|Nehawka|50|137|9|196|Cass
37|Liberty|106|246|13|365|Cass
38|North Rock Bluff|169|469|16|654|Cass
39|South Rock Bluff|279|840|19|1138|Cass
40|West Rock Bluff|102|271|18|391|Cass
41|North Plattsmouth|126|435|15|576|Cass
42|South Plattsmouth|198|629|16|843|Cass
43|Weeping Water 1st Ward|96|200|11|307|Cass
44|Weeping Water 2nd Ward|94|203|13|310|Cass
45|1st Ward - 1st Precinct|127|240|16|383|Cass
46|1st Ward - 2nd Precinct|94|240|18|352|Cass
47|2nd Ward - 1st Precinct|124|252|20|396|Cass
48|2nd Ward - 2nd Precinct|106|240|22|368|Cass
49|3rd Ward - 1st Precinct|104|270|16|390|Cass
50|3rd Ward - 2nd Precinct|104|223|21|348|Cass
51|4th Ward - 1st Precinct|86|182|13|281|Cass
52|4th Ward - 2nd Precinct|118|247|15|380|Cass
53|Schuyler 1|213|395|16|624|Colfax
54|Schuyler 2|248|630|28|906|Colfax
55|Schuyler 3|240|526|15|781|Colfax
56|Clarkson 4|97|710|14|821|Colfax
57|Howells 5|58|459|7|524|Colfax
76|BCN|72|400|3|475|Cuming
77|BL|72|388|9|469|Cuming
78|SSGC|83|535|12|630|Cuming
79|SW4|66|426|13|505|Cuming
80|WP2|92|526|9|627|Cuming
81|BGW|141|622|20|783|Cuming
82|WP1&3|173|679|22|874|Cuming
83|Logan-Wakefield 3|3|9|2|14|Dixon
84|Concord-Dixon-Clark|0|0|0|0|Dixon
85|Daily-Hooker-Newcastle|0|0|0|0|Dixon
86|Wakefield 1|0|0|0|0|Dixon
87|Wakefield 2|0|0|0|0|Dixon
88|Springbank|0|0|0|0|Dixon
89|Galena-Silvercreek|0|0|0|0|Dixon
90|Emerson|28|74|2|104|Dixon
91|Ottercreek|0|0|0|0|Dixon
92|Ponca Township|0|0|0|0|Dixon
93|Ponca 1|0|0|0|0|Dixon
94|Ponca 2|0|0|0|0|Dixon
95|Fremont 1A|228|493|27|748|Dodge
96|Fremont 1B|193|416|24|633|Dodge
97|Fremont 1C|208|654|9|871|Dodge
98|Fremont 1D|152|314|20|486|Dodge
99|Fremont 1E|237|506|13|756|Dodge
100|Fremont 2A|149|283|17|449|Dodge
101|Fremont 2B|132|301|17|450|Dodge
102|Fremont 2C|253|608|27|888|Dodge
103|Fremont 2D|94|215|15|324|Dodge
104|Fremont 2E|184|380|14|578|Dodge
105|Fremont 3A|113|209|5|327|Dodge
106|Fremont 3B|92|112|11|215|Dodge
107|Fremont 3C|124|217|15|356|Dodge
108|Fremont 3D|196|325|19|540|Dodge
109|Fremont 3E|201|370|20|591|Dodge
110|Fremont 4A|191|400|22|613|Dodge
111|Fremont 4B|146|276|20|442|Dodge
112|Fremont 4C|248|561|30|839|Dodge
113|Fremont 4D|246|678|13|937|Dodge
114|Fremont 4E|85|191|21|297|Dodge
115|City of North Bend|135|449|26|610|Dodge
116|City of Scribner|71|357|9|437|Dodge
117|Cuming/Everett Townships|47|206|2|255|Dodge
118|Webster Township|80|344|9|433|Dodge
119|Pebble Township|39|202|3|244|Dodge
120|Platte East|88|191|9|288|Dodge
121|Platte West|157|528|25|710|Dodge
122|Nickerson/Maple Townships|132|395|12|539|Dodge
123|City of Hooper|116|337|16|469|Dodge
124|Hooper/Logan Townships|79|365|16|460|Dodge
125|Elkhorn Township|36|159|10|205|Dodge
126|Union/Cott/Ridg/PV Townships|113|488|8|609|Dodge
127|1 A|341|229|21|591|Lancaster
128|1 A-1|582|486|37|1105|Lancaster
129|1 B|479|177|22|678|Lancaster
130|1 D-1|362|288|28|678|Lancaster
131|1 D-2|589|491|43|1123|Lancaster
132|1 D-4|379|456|26|861|Lancaster
133|1 D-5|325|314|19|658|Lancaster
134|1 D-6|458|424|38|920|Lancaster
135|1 D-7|266|339|8|613|Lancaster
136|1 D-8|402|447|25|874|Lancaster
137|1 D-9|394|496|13|903|Lancaster
138|1 D-10|607|695|37|1339|Lancaster
139|1 E-2|483|411|37|931|Lancaster
140|1 E-3|382|381|31|794|Lancaster
141|1 E-4|305|461|18|784|Lancaster
142|1 E-5|371|330|30|731|Lancaster
143|1 E-6|355|467|16|838|Lancaster
144|1 E-7|390|382|42|814|Lancaster
145|1 E-8|313|412|19|744|Lancaster
146|1 E-9|507|564|39|1110|Lancaster
147|1 F-1|468|361|36|865|Lancaster
148|1 F-2|388|382|37|807|Lancaster
149|1 F-3|664|769|46|1479|Lancaster
150|2 A|578|205|40|823|Lancaster
151|2 C-1|490|378|22|890|Lancaster
152|2 C-2|258|252|26|536|Lancaster
153|2 C-3|382|405|21|808|Lancaster
