Id|Precinct|Bacon|Eastman|Schaeffer|Totals|TabName
3|01-02|669|529|44|1242|Douglas
4|01-03|430|497|17|944|Douglas
5|01-04|310|742|42|1094|Douglas
6|01-05|446|648|38|1132|Douglas
7|01-07|360|942|53|1355|Douglas
8|01-08|408|855|45|1308|Douglas
9|01-09|340|565|39|944|Douglas
10|01-10|282|273|38|593|Douglas
11|01-11|398|616|40|1054|Douglas
12|01-12|67|47|9|123|Douglas
13|01-13|653|769|48|1470|Douglas
14|01-14|518|1132|34|1684|Douglas
15|01-15|533|950|65|1548|Douglas
16|01-16|370|521|38|929|Douglas
17|01-17|297|890|37|1224|Douglas
18|01-18|666|995|26|1687|Douglas
19|01-19|572|705|26|1303|Douglas
20|01-20|460|610|26|1096|Douglas
21|01-21|497|714|39|1250|Douglas
22|01-22|536|536|13|1085|Douglas
23|01-23|409|596|31|1036|Douglas
24|01-24|406|593|41|1040|Douglas
25|01-25|310|519|50|879|Douglas
26|01-26|237|702|25|964|Douglas
27|01-27|563|455|25|1043|Douglas
28|01-28|515|544|29|1088|Douglas
29|01-29|462|519|44|1025|Douglas
30|01-30|523|613|36|1172|Douglas
31|01-31|549|729|38|1316|Douglas
32|02-01|273|537|48|858|Douglas
33|02-02|228|637|39|904|Douglas
34|02-03|328|857|43|1228|Douglas
35|02-04|117|576|28|721|Douglas
36|02-05|98|469|42|609|Douglas
37|02-06|132|542|27|701|Douglas
38|02-07|103|599|10|712|Douglas
39|02-08|88|587|25|700|Douglas
40|02-09|48|680|18|746|Douglas
41|02-10|95|582|25|702|Douglas
42|02-11|152|775|26|953|Douglas
43|02-12|242|806|32|1080|Douglas
44|02-13|62|521|13|596|Douglas
45|02-14|251|771|43|1065|Douglas
46|02-15|123|901|24|1048|Douglas
47|02-16|118|652|32|802|Douglas
48|02-17|192|671|40|903|Douglas
49|02-18|150|254|11|415|Douglas
50|02-19|109|569|37|715|Douglas
51|02-20|83|572|26|681|Douglas
52|02-21|77|610|18|705|Douglas
53|02-22|56|545|15|616|Douglas
54|02-23|232|481|19|732|Douglas
55|02-24|336|534|51|921|Douglas
56|02-25|334|799|51|1184|Douglas
57|03-02|316|866|32|1214|Douglas
58|03-03|316|937|37|1290|Douglas
59|03-04|181|411|14|606|Douglas
60|03-05|323|731|41|1095|Douglas
61|03-06|244|759|46|1049|Douglas
62|03-07|390|1057|34|1481|Douglas
63|03-08|409|720|26|1155|Douglas
64|03-09|503|884|37|1424|Douglas
65|03-10|251|439|17|707|Douglas
66|03-11|154|387|24|565|Douglas
67|03-12|395|574|31|1000|Douglas
68|03-13|338|684|32|1054|Douglas
69|03-14|503|747|34|1284|Douglas
70|03-15|459|839|45|1343|Douglas
71|03-16|365|684|21|1070|Douglas
72|03-17|395|731|41|1167|Douglas
73|03-18|232|822|31|1085|Douglas
74|03-19|323|915|32|1270|Douglas
75|03-20|517|942|23|1482|Douglas
76|03-21|386|800|26|1212|Douglas
77|03-22|179|452|28|659|Douglas
78|03-23|566|639|31|1236|Douglas
79|03-24|410|580|25|1015|Douglas
80|03-25|504|563|39|1106|Douglas
81|03-26|504|646|35|1185|Douglas
82|04-01|158|308|18|484|Douglas
83|04-02|356|514|43|913|Douglas
84|04-03|214|566|27|807|Douglas
85|04-04|384|632|54|1070|Douglas
86|04-05|703|648|52|1403|Douglas
87|04-06|366|658|49|1073|Douglas
88|04-07|381|450|46|877|Douglas
89|04-08|537|531|50|1118|Douglas
90|04-09|196|366|26|588|Douglas
91|04-10|224|614|44|882|Douglas
92|04-11|498|535|41|1074|Douglas
93|04-12|554|515|35|1104|Douglas
94|04-13|386|527|44|957|Douglas
95|04-14|151|354|23|528|Douglas
96|04-15|310|620|44|974|Douglas
97|04-16|417|568|44|1029|Douglas
98|04-17|324|358|40|722|Douglas
99|04-18|171|498|19|688|Douglas
100|04-19|439|528|47|1014|Douglas
101|04-20|537|371|32|940|Douglas
102|04-21|484|716|62|1262|Douglas
103|05-01|630|652|41|1323|Douglas
104|05-02|653|692|29|1374|Douglas
105|05-03|767|649|36|1452|Douglas
106|05-05|461|508|43|1012|Douglas
107|05-06|446|466|32|944|Douglas
108|05-07|840|789|75|1704|Douglas
109|05-09|781|479|25|1285|Douglas
110|05-10|640|534|44|1218|Douglas
