Id|Precinct|Smith|Elworth|Hobbs|Totals|TabName
1|WestBlue/Highland|328|35|16|379|Adams
2|Verona|132|12|8|152|Adams
3|Kenesaw|554|60|21|635|Adams
4|Juniata|433|67|17|517|Adams
5|Denver|514|92|23|629|Adams
6|Blaine|98|7|3|108|Adams
7|Pauline|165|14|7|186|Adams
8|Ayr|332|58|15|405|Adams
9|Roseland|255|24|10|289|Adams
10|Holstein|166|12|2|180|Adams
11|1-A|568|193|45|806|Adams
12|1-B|401|147|30|578|Adams
13|1-C|344|160|20|524|Adams
14|2-A|276|52|12|340|Adams
15|2-B|486|125|24|635|Adams
16|2-C|396|134|23|553|Adams
17|2-D|695|226|32|953|Adams
18|2-E|470|140|35|645|Adams
19|3-A|392|203|34|629|Adams
20|3-B|339|187|24|550|Adams
21|3-C|466|194|44|704|Adams
22|3-D|88|38|4|130|Adams
23|3-E|906|250|40|1196|Adams
24|4-A|295|142|25|462|Adams
25|4-B|376|156|19|551|Adams
26|4-C|175|129|12|316|Adams
27|4-D|639|216|46|901|Adams
28|4-E|161|53|14|228|Adams
29|Tilden Precinct|135|22|9|166|Antelope
30|Tilden 1st Ward|112|26|5|143|Antelope
31|Oakdale Precinct|222|23|8|253|Antelope
32|Neligh Precinct|228|35|7|270|Antelope
33|Neligh 1st Ward|343|50|13|406|Antelope
34|Neligh 2nd Ward|272|57|19|348|Antelope
35|Brunswick Precinct|313|34|7|354|Antelope
36|Elgin 1st Ward|163|11|5|179|Antelope
37|Elgin 2nd Ward|188|15|6|209|Antelope
38|Elgin Precinct|214|12|4|230|Antelope
39|Royal Precinct|117|12|1|130|Antelope
40|Clearwater Precinct|414|31|7|452|Antelope
41|Orchard Precinct|269|30|11|310|Antelope
42|Arthur|0|0|0|0|Arthur
43|Long Springs|342|45|16|403|Banner
44|Blaine|265|23|17|305|Blaine
45|Boone|132|7|5|144|Boone
46|Beaver|340|45|13|398|Boone
47|Cedar|240|67|16|323|Boone
48|Dublin-Bonanza|116|21|6|143|Boone
49|North Branch-Shell Creek|81|2|3|86|Boone
50|North Manchester|391|47|15|453|Boone
51|Oakland|356|54|14|424|Boone
52|Southeast Manchester|478|67|17|562|Boone
53|Southwest Manchester|488|44|9|541|Boone
54|New/Former Resident|0|0|0|0|Boone
55|Precinct 1|395|120|25|540|Box Butte
56|Precinct 2|424|120|35|579|Box Butte
57|Precinct 3|334|107|32|473|Box Butte
58|Precinct 4|443|123|35|601|Box Butte
59|Precinct 5|611|125|39|775|Box Butte
60|Precinct 6|508|149|29|686|Box Butte
61|Precinct 11|323|33|7|363|Box Butte
62|Precinct 12|308|24|17|349|Box Butte
63|Precinct 15|618|93|28|739|Box Butte
64|Butte Basin McCulley|369|40|17|426|Boyd
65|Lynch Bristow Mullen Bush|220|17|11|248|Boyd
66|Spencer Morton|377|32|12|421|Boyd
67|Ainsworth Precinct|443|28|10|481|Brown
68|City of Ainsworth|705|68|28|801|Brown
69|The Pines|312|32|11|355|Brown
70|Precinct 1|751|204|35|990|Buffalo
71|Precinct 2|562|203|39|804|Buffalo
72|Precinct 3|837|247|45|1129|Buffalo
73|Precinct 4|1263|294|40|1597|Buffalo
74|Precinct 5|548|155|36|739|Buffalo
75|Precinct 6|972|301|43|1316|Buffalo
76|Precinct 7|605|316|45|966|Buffalo
77|Precinct 8|368|142|23|533|Buffalo
78|Precinct 9|560|225|42|827|Buffalo
79|Precinct 10|943|293|86|1322|Buffalo
80|Precinct 11|391|213|30|634|Buffalo
81|Precinct 12|445|250|54|749|Buffalo
82|Precinct 13|1111|345|74|1530|Buffalo
83|Precinct 14|864|286|74|1224|Buffalo
84|Precinct 15|280|20|9|309|Buffalo
85|Precinct 16|509|64|18|591|Buffalo
86|Precinct 17|233|37|9|279|Buffalo
87|Precinct 18|520|124|25|669|Buffalo
88|Precinct 19|510|47|21|578|Buffalo
89|Precinct 20|944|141|33|1118|Buffalo
90|Precinct 21|431|60|22|513|Buffalo
91|Precinct 22|270|37|16|323|Buffalo
92|Precinct 23|289|77|20|386|Buffalo
93|Precinct 24|580|120|26|726|Buffalo
94|Precinct 25|551|77|35|663|Buffalo
95|Precinct 26|597|131|28|756|Buffalo
96|Precinct 27|256|69|19|344|Buffalo
97|Precinct 28|565|79|13|657|Buffalo
98|Precinct 29|554|76|22|652|Buffalo
99|Precinct 1 (1)|155|30|7|192|Cedar
100|Precinct 2 (2-3)|351|51|9|411|Cedar
101|Precicnt 3 (4)|173|23|5|201|Cedar
102|Precicnt 4 (5-6-7)|356|50|12|418|Cedar
103|Precinct 5 (13-14)|137|22|6|165|Cedar
104|Precinct 6 (8-9)|976|139|29|1144|Cedar
105|Precicnt 7 (9A)|76|13|7|96|Cedar
106|Precinct 8 (10-11-12)|240|20|4|264|Cedar
107|Precinct 9 (15-16)|393|51|9|453|Cedar
108|Precicnt 10 (17-18)|132|9|6|147|Cedar
109|Precinct 11 (19)|464|66|11|541|Cedar
110|Precinct 12 (20)|99|25|7|131|Cedar
111|Precicnt 13 (21)|531|84|23|638|Cedar
112|Champion/Lamar|269|20|4|293|Chase
113|Imperial East|282|39|8|329|Chase
114|Imperial West|544|48|13|605|Chase
115|Imperial Rural|335|16|4|355|Chase
116|Wauneta|350|31|6|387|Chase
117|Barley|34|0|4|38|Cherry
118|Cleveland|67|4|6|77|Cherry
119|Cody|178|14|11|203|Cherry
120|Crookston|111|9|6|126|Cherry
121|Gillaspie|18|0|1|19|Cherry
122|Goose Creek|77|0|4|81|Cherry
123|Kennedy|29|0|1|30|Cherry
124|Kilgore|62|7|5|74|Cherry
125|King|19|0|1|20|Cherry
126|Lackey|53|1|2|56|Cherry
127|Loup|130|3|4|137|Cherry
128|Merriman|121|6|8|135|Cherry
129|Mother Lake|37|0|4|41|Cherry
130|Nenzel|28|6|0|34|Cherry
131|Russell|21|0|1|22|Cherry
132|Valentine East|528|83|24|635|Cherry
133|Valentine North|625|89|31|745|Cherry
134|Valentine South|378|44|13|435|Cherry
135|Wells|80|3|1|84|Cherry
136|Wood Lake|77|8|8|93|Cherry
137|Sidney 1|404|110|24|538|Cheyenne
138|Sidney 2|569|94|33|696|Cheyenne
139|Sidney 3|434|109|26|569|Cheyenne
140|Sidney 4|470|103|15|588|Cheyenne
141|Sidney 5|816|141|38|995|Cheyenne
142|Gurley|261|27|10|298|Cheyenne
143|Lodgepole|345|47|10|402|Cheyenne
144|Potter|298|24|18|340|Cheyenne
145|Union Valley|242|34|8|284|Cheyenne
146|Harvard Cons.|366|79|40|485|Clay
147|Inland Leicester|189|36|6|231|Clay
148|Sutton 1st|361|63|10|434|Clay
149|Sutton 2nd|329|58|7|394|Clay
150|Sutton Twps|257|23|6|286|Clay
151|Glenvil|189|20|7|216|Clay
152|Spring Ranch FF 2nd|184|19|7|210|Clay
153|Fairfield 1st|151|38|9|198|Clay
154|Edgar Cons.|305|51|14|370|Clay
155|Clay Center City|327|64|18|409|Clay
156|LLLM Cons.|221|29|7|257|Clay
341|Eustis|326|44|2|372|Frontier
342|Stockville|242|28|1|271|Frontier
343|Curtis|397|40|13|450|Frontier
344|Maywood|186|26|5|217|Frontier
345|Garden Prairie|97|4|4|105|Frontier
346|Arapahoe|562|65|23|650|Furnas
347|Beaver City|334|53|11|398|Furnas
348|Cambridge|595|85|15|695|Furnas
349|Edison|96|12|0|108|Furnas
350|Hendley|92|7|3|102|Furnas
351|Holbrook|149|16|10|175|Furnas
352|Oxford|294|41|16|351|Furnas
353|Wilsonville|77|14|3|94|Furnas
354|Adams Area|919|214|31|1164|Gage
355|Odell Area|419|97|20|536|Gage
356|Filley/Virginia Area|472|112|26|610|Gage
357|NW Quad Area|918|290|52|1260|Gage
358|Homestead Area|598|147|25|770|Gage
359|Wymore Area|716|236|48|1000|Gage
360|Beatrice Ward 1|995|375|53|1423|Gage
361|Beatrice Ward 2|988|381|78|1447|Gage
362|Beatrice Ward 3|686|267|80|1033|Gage
363|Beatrice Ward 4|1026|410|67|1503|Gage
364|Lisco|92|10|2|104|Garden
365|Oshkosh 1|255|44|10|309|Garden
366|Lost Creek|367|47|17|431|Garden
367|Blue Creek|268|35|15|318|Garden
368|Ward I City of Burwell|271|41|3|315|Garfield
369|Ward II City of Burwell|248|27|8|283|Garfield
370|Rural Garfield County|405|21|13|439|Garfield
371|1|374|28|10|412|Gosper
372|2|328|71|5|404|Gosper
373|3|196|18|3|217|Gosper
374|4|65|7|3|75|Gosper
375|Grant County|360|14|10|384|Grant
376|Scotia|198|34|4|236|Greeley
377|Spalding|370|52|6|428|Greeley
378|Wolbach|159|23|8|190|Greeley
379|Greeley|270|67|11|348|Greeley
380|One|592|309|55|956|Hall
381|Two|232|165|21|418|Hall
382|Three|569|301|49|919|Hall
383|Four|553|247|37|837|Hall
384|Five|834|266|26|1126|Hall
385|Six|749|267|44|1060|Hall
386|Seven|633|287|44|964|Hall
387|Eight|695|375|55|1125|Hall
388|Nine|866|356|49|1271|Hall
389|Ten|695|329|65|1089|Hall
390|Eleven|689|281|38|1008|Hall
391|Twelve|410|292|41|743|Hall
392|Thirteen|1176|337|64|1577|Hall
393|Fourteen|1323|309|49|1681|Hall
394|Fifteen|1184|344|61|1589|Hall
395|Sixteen|882|261|50|1193|Hall
396|Seventeen|550|212|36|798|Hall
397|Eighteen|701|267|30|998|Hall
398|Nineteen|457|137|26|620|Hall
399|Twenty|0|0|0|0|Hall
400|Twenty-one|584|83|39|706|Hall
401|Twenty-two|870|200|45|1115|Hall
402|Twenty-three|364|69|22|455|Hall
403|Twenty-four|898|181|45|1124|Hall
404|Twenty-five|0|0|0|0|Hall
405|Twenty-six|0|0|0|0|Hall
406|Precinct 1|187|17|7|211|Hamilton
407|Precinct 2|393|73|19|485|Hamilton
408|Precinct 3|408|64|28|500|Hamilton
409|Precinct 4|156|18|6|180|Hamilton
410|Precinct 5|460|58|26|544|Hamilton
411|Precinct 6|226|20|17|263|Hamilton
412|Precinct 7|360|42|7|409|Hamilton
413|Precinct 8|274|44|15|333|Hamilton
414|Ward 1|766|162|41|969|Hamilton
415|Ward 2|553|122|34|709|Hamilton
416|Ward 3|554|180|40|774|Hamilton
417|Republican City|199|27|2|228|Harlan
418|Huntley-Ragan|194|27|4|225|Harlan
419|East Alma|206|17|5|228|Harlan
420|Central Alma|214|34|8|256|Harlan
421|West Alma|206|38|4|248|Harlan
422|Orleans|270|36|4|310|Harlan
423|Stamford|148|17|3|168|Harlan
424|Oxford|205|21|4|230|Harlan
232|MASON CITY|217|17|7|241|Custer
233|ARNOLD|400|39|16|455|Custer
234|ANSLEY/M/W|394|42|14|450|Custer
235|BROKEN BOW NORTH|139|34|7|180|Custer
236|BROKEN BOW NORTH RURAL|211|26|7|244|Custer
237|BROKEN BOW SOUTH|507|99|28|634|Custer
238|BROKEN BOW SOUTHWEST|233|36|7|276|Custer
239|BERWYN|117|12|6|135|Custer
240|CUSTER|50|4|0|54|Custer
241|EAST CUSTER|24|2|1|27|Custer
242|MERNA COMMUNITY BLDG|364|27|14|405|Custer
243|COMSTOCK/DG/SC|121|23|2|146|Custer
244|DELIGHT|354|35|21|410|Custer
245|ELIM|72|0|1|73|Custer
